Scanning 101 .tor files for zero-dot singleton FQNs
FQN	PAYLOAD_SIZE	CF_E0_COUNT	CF_40_COUNT	STRING_COUNT	FIRST_32_BYTES	STRING_SAMPLES
_3_cult_temple	154	9	2	0	00 00 31 05 CF 40 00 00 03 7F 9E 4A C0 01 CF 40 00 03 D2 73 9B 97 3A CC 06 CE C5 9D 5D 01 CF E0	
a certain character level	1362	48	49	52	00 00 01 01 CF 40 00 00 43 39 07 DF 74 08 01 09 30 30 CF E0 00 01 E6 CB 08 B4 69 02 02 CF 40 00	33s? | *0@a | 33s? | 33s? | 33s? | 33s? | 33s? | 33s?
ablAbilityReplacementInfoPrototype	5330	542	1	14	00 00 02 02 CF 40 00 00 42 8E 75 A4 C1 08 01 08 35 35 CF E0 00 05 15 B5 0C D1 6A 01 01 01 01 CF	SPQq | i9o; | hlr" | `lmy | Z:;/ | <%Tu | H"_# | SPQq
ablPackagePrototype	7356	335	118	13	00 03 03 CF 40 00 00 41 BA B4 CF D0 08 01 07 10 10 CF E0 00 03 CA 6A CA AB DE 09 06 06 01 04 04	pAJC | pAJC | pAJC | pAJC | pAJC | pAJC | pAJC | $m\'
ablVanityPetsPrototype	23800	2450	1	110	00 00 00 00 00 00 04 04 CF 40 00 00 41 37 8F 34 11 08 02 01 C9 01 99 C9 01 99 07 CF E0 00 50 62	u0DE | sf"o | sf"d;! | sf"b | s-f7 | s#58 | ;aZS | _Dac
achCategoriesTable_Prototype	307924	11076	6535	2401	02 02 CF 40 00 00 41 00 B5 C2 B5 08 02 09 C9 03 E4 C9 03 E4 00 08 04 CF 40 00 00 41 00 B5 C2 B2	worldarc | cdx.planets.tatooine | story | cdx.planets.alderaan | worldarc | cdx.persons.alderaan.bouris_ulgo | meta | &cdx.location.alderaan.the_apalis_coast
achRewardsTable_Prototype	37013	460	1299	85	00 00 00 01 01 CF 40 00 00 41 0F 72 CD 27 08 02 09 C9 03 48 C9 03 48 CE 1A 25 3A 3A F7 CD 6C 08	:b.n | <6'U | rtlh | st\Y | ~{cA | [fD\ | b|Pkh | _H;2
ahItemCategoriesPrototype	1784	0	21	12	00 00 00 02 02 CF 40 00 00 3D 23 A7 EA 4C 08 02 09 13 13 00 02 01 CF 40 00 00 48 A8 C8 DF D2 07	9wf1i6 | ^FAW | 3h8g | W6E$ | k.;Q= | (CPF | oWJq | ~zA6L
ahItemSlotCategoriesPrototype	272	0	1	1	00 00 00 00 00 00 00 03 03 CF 40 00 00 3D DB 0C EB 95 08 02 05 07 07 CF 2A 05 D1 D0 CB 8E B8 44	9wf1i6
ahItemStatsPrototype	127	0	1	0	01 01 CF 40 00 00 4B F2 2E 84 B3 08 05 02 0C 0C 05 CE 03 74 15 00 00 00 04 06 CE 03 74 15 00 00	
ahItemSubCategoriesPrototype	1939	1	1	5	02 02 CF 40 00 00 3D 23 A7 EA 47 08 02 02 65 65 00 00 01 CE 03 8F E4 00 00 00 25 02 CE 03 8F E4	^FAW | rCg* | 9wf1i6 | Q>.o | P[TP
animLocoOverridesPrototype	1107	0	18	25	00 00 01 01 CF 40 00 00 41 F0 8E 84 78 08 01 09 11 11 CF 01 97 9D BA B2 BA 3B 62 04 04 CF 40 00	)humanoid_loco_autogen_rd_boss_soa_idle_01 | humanoid_loco_combat_saber_04 | 1humanoid_no_aim_loco_autogen_as_mount_turret_idle | Turret | 2humanoid_no_aim_loco_autogen_cb_2pistol_hover_loop | JumpJet | humanoid_loco_combat_saber_01 | humanoid_loco_combat_saber_03
aoeVfxStandardsPrototype	3072	0	33	32	00 00 00 00 01 01 CF 40 00 03 D2 4D 10 7E 96 08 05 08 04 04 04 05 09 08 08 01 02 02 CF 40 00 03	9standards/standard_communication_aoe_template_cone.fxspec | 9standards/standard_communication_aoe_template_cone.fxspec | 9standards/standard_communication_aoe_template_cone.fxspec | 9standards/standard_communication_aoe_template_cone.fxspec | 9standards/standard_communication_aoe_template_cone.fxspec | 9standards/standard_communication_aoe_template_cone.fxspec | 9standards/standard_communication_aoe_template_cone.fxspec | 9standards/standard_communication_aoe_template_cone.fxspec
appAlignmentAppearancePrototype	1096	0	16	0	00 00 00 00 00 02 02 CF 40 00 00 44 1D 4A 04 1C 07 09 0A 0A 01 0B 08 CF 40 00 00 44 1D 4A 04 12	
appdefaultparts	474	0	1	20	00 00 00 00 00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 04 04 01 06 05 05 01 05 63 68 65 73 74 02	chest | boot | hand | boot | chest | hand | slot | model_male
aptLabelTableDefinition	1122	2	41	0	00 00 00 00 00 02 02 CF 40 00 00 41 FA 65 70 33 08 01 09 28 28 CE 0B EB E1 00 00 01 C9 02 02 CF	
apthookdata	38997	0	981	151	00 06 04 CF 40 00 00 41 D2 4C 64 AE 08 02 09 10 10 C9 01 B4 07 06 CF 40 00 00 41 D2 4C 64 A2 02	H[R> | ssS$ | H[R> | 8%Oy | /c~` | F'L* | 8TOh | H[R>
arenaBadgeDataPrototype	3796	0	118	0	00 00 00 00 00 02 02 CF 40 00 00 09 D9 84 79 30 08 05 07 37 37 01 09 01 01 01 03 03 CF 40 00 00	
atategoriesTagsTable_Prototype	134	0	4	2	00 00 01 01 CF 40 00 00 45 57 91 CB C3 08 02 09 03 03 CF 22 28 1E 18 EB 18 BF DF 03 03 CF 40 00	heal | tank
atvCategoryHighlightPrototype	184	0	8	0	00 00 00 00 00 00 00 01 01 CF 40 00 00 43 30 5F FD D4 08 05 09 07 07 02 02 02 CF 40 00 00 43 30	
bugTopicsTablePrototype	229	0	10	0	00 00 00 00 00 02 02 CF 40 00 00 0F 08 54 71 AC 08 02 09 09 09 02 03 02 CF 40 00 00 0F 08 54 71	
cbrCommandInfoActivityPoints_Prototype	111	0	1	0	00 00 00 00 00 00 02 02 CF 40 00 00 43 35 26 AD A1 08 05 08 02 02 02 05 02 08 08 01 00 02 00 03	
cbrCommandInfoFlair_Prototype	3577	0	1	0	00 00 00 00 00 00 00 01 01 CF 40 00 00 43 2A 72 0C 10 08 02 02 C9 03 E7 C9 03 E7 01 01 02 01 03	
cbrCommandInfo_Prototype	34102	0	1000	0	00 00 00 00 02 02 CF 40 00 00 4E C1 CA E6 AC 08 02 09 C9 03 E7 C9 03 E7 01 04 03 CF 40 00 00 4E	
cbtArmorPerLevel	279010	0	1	0	00 00 00 00 01 01 CF 40 00 00 48 A2 F9 99 A8 08 02 08 04 04 CF 08 2E FC 89 EA 77 A7 B6 05 08 07	
cbtArmorTablePrototype	415	9	10	11	00 00 00 00 00 00 01 01 CF 40 00 00 48 A2 F9 99 A2 08 02 09 09 09 CF 08 2E FC 89 EA 77 A7 B6 03	medium | AazD | heavy_droid | !=oDs | focus | light | generator | heavy
cbtShieldPerLevel	240935	0	5233	337	00 00 00 02 01 CF 40 00 00 1C F0 70 8C 68 08 02 08 04 04 CF 36 82 18 21 3D 6F 44 73 05 08 07 07	!=oDs | @"DD | @&DE | @*DF | @.DG | @_DS | @cDT | @gDU
cbtStandardDamageInfo	3308	0	1	0	00 00 00 00 00 00 00 01 01 CF 40 00 00 06 50 67 C6 91 08 05 08 0A 0A 02 02 02 50 50 01 35 02 3F	
cbtStandardHealingInfo	3372	0	1	0	00 00 00 00 00 00 01 01 CF 40 00 00 06 50 67 C6 91 08 05 08 0A 0A 02 02 02 50 50 01 A5 02 B9 03	
cbtStandardRatingInfo	7484	0	1	0	00 00 00 00 00 00 00 03 03 CF 40 00 00 44 DC BF D7 21 07 04 C9 01 A2 C9 01 A2 01 00 00 80 3F 02	
ccsAppearanceTablePrototype	7007	488	97	16	00 03 02 CF 40 00 03 D2 5D 30 9B 72 08 02 08 04 04 01 02 09 08 08 CF E0 00 01 A9 EC AA AF C9 01	X~zX | )4t{ | aV0` | X~zX | )4t{ | aV0` | X~zX | )4t{
ccsBoostLevelDataPrototype	410	11	7	6	00 00 01 01 CF 40 00 00 43 29 B1 06 D5 08 02 09 03 03 3C 0B 0A CF 40 00 00 43 2C 63 2D B0 01 CF	C,c- | B_tA | C,c- | N`&i | C,c- | B_tA
ccsStagesPrototype	1928	12	33	96	00 00 02 02 CF 40 00 00 4E AB 9E C8 BC 08 02 09 04 04 01 06 05 CF 40 00 00 10 04 AA D8 48 01 CF	CAM1 | _start_general_grey_backdrop | CAM1 | _start_general_grey_backdrop | CAM1 | _start_general_grey_backdrop | CAM1 | _start_general_grey_backdrop
cdxBitToFQNPrototype	46926	3946	1	153	01 01 CF 40 00 00 2A 11 81 97 C3 08 02 01 C9 0F 6A C9 0F 6A 01 CF E0 00 00 3A 8B 25 D2 A0 02 CF	5\:Q- | zkdn | nRBl | vcfv | &t0ALq | I:Or | Xb/DU | SpFy
cdxCategoryTotalsPrototype	86524	4794	1	68	00 00 04 03 CF 40 00 00 10 36 F1 A2 2B 08 02 08 02 02 CF 0F 15 AE 02 63 83 82 21 01 08 08 08 CF	:xIp | :xIp | :xIp | :xIp | :xIp | :xIp | :xIp | :xIp
cdxCompletionBonusPrototype	83	4	1	0	00 03 03 CF 40 00 00 08 62 3C 15 EA 08 01 02 01 01 CF E0 00 BD EB 43 E5 96 51 C9 03 E8 CC 01 CB	
character class	4907	72	125	3	00 00 00 00 00 00 01 01 CF 40 00 00 1C EF A0 44 15 08 05 08 10 10 02 01 07 0B 0B CF E0 00 01 A9	pAJC | R%PB | >DM?%}
chedulePrototype	15941	0	497	0	01 01 CF 40 00 00 43 8D CC 77 05 07 09 C9 01 F0 C9 01 F0 01 02 02 CF 40 00 00 43 8D CC 77 03 02	
chrAdvancedClassDataPrototype	924	88	1	5	00 00 00 00 00 00 00 05 02 CF 40 00 00 44 B4 5A CE 75 07 01 10 10 01 CF E0 00 70 41 4A 43 8A 86	pAJC | pAJC | pAJC | pAJC | pAJC
chrAllianceContactInfluenceLevelsPrototype	243	0	1	0	00 00 01 01 CF 40 00 00 42 8B 61 FC 20 07 02 32 32 01 C9 01 90 02 C9 03 84 03 C9 06 40 04 C9 09	
chrBackgroundTablePrototype	25004	632	209	405	00 04 04 CF 40 00 00 0A A7 84 5F BC 08 02 09 68 68 01 0F 0D CF 40 00 00 0A A7 84 5F BE 01 CF E0	zabrak | bgd.sith_warrior.zabrak | species_zabrak_sith | human | bgd.sith_warrior.sith | species_sithpureblood | h<;| | human
chrBoostCharacterDataPrototype	838	48	17	2	00 00 00 00 00 00 01 01 CF 40 00 00 42 96 3E E6 7C 08 01 09 10 10 CF E0 00 03 CA 6A CA AB DE 03	pAJC | (~bv
chrCharacterStoryClassPrototype	1588	60	17	17	00 00 00 00 00 01 01 CF 40 00 03 D2 57 E0 49 42 08 01 09 08 08 CF E0 00 01 A9 EC AA AF C9 0D 0D	sithwarrior | imperial_fleet | smuggler | republic_fleet | imperial_fleet | trooper | republic_fleet | sithsorcerer
chrCharacterToysPrototype	2785	276	1	10	00 00 00 02 02 CF 40 00 00 46 04 D4 80 73 08 01 02 8A 8A CF E0 00 00 72 A0 BE 98 62 36 CF E0 00	31UU | =c[n-|W | qE:?Q | Wm&rzL | gHg$ | gHg% | qE:?Q | Wm&rzM
chrClassListingPrototype	38250	4244	3	179	00 00 00 00 03 03 CF 40 00 00 0A 4E 63 E8 2D 08 01 0F C9 08 36 C9 08 36 CF E0 00 00 61 CD E6 AA	:*]b | :*]b | 6IoL | 6IoL | Yij6h | Yij6h | |c1r | |c1r
chrCompanionInfo_Prototype	86664	3358	188	464	00 00 09 09 CF 40 00 00 0A 4E 63 E8 22 08 01 09 BA BA CF E0 00 00 48 4A A8 59 72 1D 16 CF 40 00	Fimg://gfx/portraits/Companions/Crafting_Droids_BlueLight/DDS/C_2N2.dds | 0img://gfx/portraits/Companions/FE/Darth_Marr.dds | =img://gfx/portraits/Companions/Rep_Companions/M1_4X_light.dds | Dimg://gfx/portraits/Companions/Imp_Companions_BlueLight/DDS/Mako.dds | Jimg://gfx/portraits/Companions/Imp_Rep_Companions/treek_portrait_light.dds | "\G!D | .img://gfx/portraits/Companions/FE/Quinn_FE.dds | Fimg://gfx/portraits/Companions/Imp_Companions_BlueLight/DDS/Skadge.dds
chrCompanionSpecMap_Prototype	545	58	1	2	00 00 00 00 00 00 00 01 01 CF 40 00 00 33 37 89 3E 4E 08 01 01 1D 1D CF E0 00 0B 8F D1 32 EA 83	O8bh | ^dQZ
